,Wine,Vintage,Format,Region,Cost,Qty,Negoce
201,CHATEAU PICHON LALANDE,2007,75cl,Bordeaux,79.0,0,Joanne
202,CHATEAU PICHON LALANDE,2006,75cl,Bordeaux,98.0,0,Joanne
203,CHATEAU PICHON LALANDE,2005,75cl,Bordeaux,100.0,0,Joanne
204,CHATEAU PICHON LALANDE,2004,75cl,Bordeaux,100.0,0,Joanne
205,CHATEAU PICHON LALANDE,2003,75cl,Bordeaux,138.0,0,Joanne
206,CHATEAU PONTET CANET,2013,75cl,Bordeaux,60.0,0,Joanne
207,CHATEAU PONTET CANET,2012,75cl,Bordeaux,65.0,0,Joanne
208,CHATEAU PONTET CANET,2011,75cl,Bordeaux,72.0,0,Joanne
209,CHATEAU PONTET CANET,2010,75cl,Bordeaux,170.0,0,Joanne
210,CHATEAU PONTET CANET,2009,75cl,Bordeaux,190.0,0,Joanne
211,CHATEAU PONTET CANET,2007,75cl,Bordeaux,58.0,0,Joanne
212,CHATEAU PONTET CANET,2006,75cl,Bordeaux,95.0,0,Joanne
213,FLEUR DE PEDESCLAUX,2013,75cl,Bordeaux,13.2,0,Joanne
214,FLEUR DE PEDESCLAUX,2012,75cl,Bordeaux,13.2,0,Joanne
215,FLEUR DE PEDESCLAUX,2011,75cl,Bordeaux,13.2,0,Joanne
216,FLEUR DE PEDESCLAUX,2010,75cl,Bordeaux,13.8,0,Joanne
217,LACOSTE BORIE,2013,75cl,Bordeaux,13.5,0,Joanne
218,LACOSTE BORIE,2006,75cl,Bordeaux,20.0,0,Joanne
219,LE PETIT MOUTON DE MOUTON ROTH,2012,75cl,Bordeaux,145.0,0,Joanne
220,LE PETIT MOUTON DE MOUTON ROTH,2010,75cl,Bordeaux,150.0,0,Joanne
221,LES FORTS DE LATOUR,2011,75cl,Bordeaux,145.0,0,Joanne
222,LES FORTS DE LATOUR,2010,75cl,Bordeaux,175.0,0,Joanne
223,LES FORTS DE LATOUR,2009,75cl,Bordeaux,160.0,0,Joanne
224,LES FORTS DE LATOUR,2006,75cl,Bordeaux,155.0,0,Joanne
225,LES FORTS DE LATOUR,2005,75cl,Bordeaux,160.0,0,Joanne
226,LES GRIFFONS DE PICHON BARON,2013,75cl,Bordeaux,22.3,0,Joanne
227,RESERVE DE LA COMTESSE,2011,75cl,Bordeaux,24.0,0,Joanne
228,RESERVE DE LA COMTESSE,2010,75cl,Bordeaux,30.0,0,Joanne
229,RESERVE DE LA COMTESSE,2009,75cl,Bordeaux,34.0,0,Joanne
230,CHATEAU DE FIEUZAL,2013,75cl,Bordeaux,19.2,0,Joanne
231,CHATEAU HAUT BAILLY,2013,75cl,Bordeaux,39.6,0,Joanne
232,CHATEAU HAUT BAILLY,2011,75cl,Bordeaux,54.0,0,Joanne
233,CHATEAU HAUT BAILLY,2007,75cl,Bordeaux,44.0,0,Joanne
234,CHATEAU HAUT BAILLY,2006,75cl,Bordeaux,58.0,0,Joanne
235,CHATEAU HAUT BERGEY R,2003,75cl,Bordeaux,14.0,0,Joanne
236,CHATEAU HAUT-BRION Red,2012,75cl,Bordeaux,330.0,0,Joanne
237,CHATEAU HAUT-BRION Red,2011,75cl,Bordeaux,330.0,0,Joanne
238,CHATEAU HAUT-BRION Red,2007,75cl,Bordeaux,310.0,0,Joanne
239,CHATEAU HAUT-BRION Red,2004,75cl,Bordeaux,310.0,0,Joanne
240,CHATEAU LA MISSION HT-BRION R,2013,75cl,Bordeaux,120.0,0,Joanne
241,CHATEAU LA MISSION HT-BRION R,2012,75cl,Bordeaux,165.0,0,Joanne
242,CHATEAU LA MISSION HT-BRION R,2007,75cl,Bordeaux,165.0,0,Joanne
243,CHATEAU LA MISSION HT-BRION R,2006,75cl,Bordeaux,250.0,0,Joanne
244,CHATEAU LA MISSION HT-BRION R,2005,75cl,Bordeaux,455.0,0,Joanne
245,CHATEAU LATOUR MARTILLAC R,2013,75cl,Bordeaux,16.95,0,Joanne
246,CHATEAU LATOUR MARTILLAC R,2012,75cl,Bordeaux,19.0,0,Joanne
247,CHATEAU LATOUR MARTILLAC R,2011,75cl,Bordeaux,19.5,0,Joanne
248,CHATEAU LATOUR MARTILLAC R,2006,75cl,Bordeaux,24.0,0,Joanne
249,CHATEAU LATOUR MARTILLAC R,2005,75cl,Bordeaux,31.0,0,Joanne
250,CHATEAU LES CARMES HT-BRION,2011,75cl,Bordeaux,39.0,0,Joanne
251,CHATEAU LES CARMES HT-BRION,2008,75cl,Bordeaux,35.0,0,Joanne
252,CHATEAU LES CARMES HT-BRION,2007,75cl,Bordeaux,35.0,0,Joanne
253,CHATEAU LES CARMES HT-BRION,2003,75cl,Bordeaux,35.0,0,Joanne
254,CHATEAU LESPAULT-MARTILLAC RGE,2012,75cl,Bordeaux,14.4,0,Joanne
255,CHATEAU LESPAULT-MARTILLAC RGE,2011,75cl,Bordeaux,14.4,0,Joanne
256,CHATEAU MALARTIC LAGRAVIERE R,2009,75cl,Bordeaux,37.0,0,Joanne
257,CHATEAU MALARTIC LAGRAVIERE R,2007,75cl,Bordeaux,24.0,0,Joanne
258,CHATEAU MALARTIC LAGRAVIERE R,2006,75cl,Bordeaux,28.5,0,Joanne
259,CHATEAU OLIVIER R,2011,75cl,Bordeaux,18.5,0,Joanne
260,CHATEAU PAPE CLEMENT R,2013,75cl,Bordeaux,49.8,0,Joanne
261,CHATEAU PAPE CLEMENT R,2012,75cl,Bordeaux,65.0,0,Joanne
262,CHATEAU PAPE CLEMENT R,2009,75cl,Bordeaux,160.0,0,Joanne
263,CHATEAU PAPE CLEMENT R,2008,75cl,Bordeaux,68.0,0,Joanne
264,CHATEAU SMITH HAUT LAFITTE R,2012,75cl,Bordeaux,51.0,0,Joanne
265,CHATEAU SMITH HAUT LAFITTE R,2011,75cl,Bordeaux,52.0,0,Joanne
266,CHATEAU SMITH HAUT LAFITTE R,2010,75cl,Bordeaux,105.0,0,Joanne
267,CHATEAU SMITH HAUT LAFITTE R,2009,75cl,Bordeaux,215.0,0,Joanne
268,CLARENCE DE HAUT-BRION,2012,75cl,Bordeaux,66.0,0,Joanne
269,CLARENCE DE HAUT-BRION,2011,75cl,Bordeaux,72.0,0,Joanne
270,CLARENCE DE HAUT-BRION,2010,75cl,Bordeaux,108.0,0,Joanne
271,CLARENCE DE HAUT-BRION,2009,75cl,Bordeaux,93.0,0,Joanne
272,DOMAINE DE CHEVALIER R,2013,75cl,Bordeaux,27.5,0,Joanne
273,DOMAINE DE CHEVALIER R,2011,75cl,Bordeaux,40.0,0,Joanne
274,LA CHAPELLE DE LA MISSION H.B,2012,75cl,Bordeaux,38.0,0,Joanne
275,LA CHAPELLE DE LA MISSION H.B,2011,75cl,Bordeaux,48.0,0,Joanne
276,LA CHAPELLE DE LA MISSION H.B,2009,75cl,Bordeaux,63.0,0,Joanne
277,LA PARDE DE HAUT BAILLY,2013,75cl,Bordeaux,14.4,0,Joanne
278,LA PARDE DE HAUT BAILLY,2012,75cl,Bordeaux,15.0,0,Joanne
279,LA PARDE DE HAUT BAILLY,2011,75cl,Bordeaux,16.2,0,Joanne
280,LA RESERVE DU CH DE FRANCE,2006,75cl,Bordeaux,10.2,0,Joanne
281,LE CLEMENTIN CH.PAPE CLEMENT R,2012,75cl,Bordeaux,20.0,0,Joanne
282,LE PETIT HAUT LAFITTE,2013,75cl,Bordeaux,13.98,0,Joanne
283,BLASON DE L'EVANGILE,2010,75cl,Bordeaux,36.5,0,Joanne
284,CHATEAU BEAUREGARD,2011,75cl,Bordeaux,21.0,0,Joanne
285,CHATEAU BEAUREGARD,2003,75cl,Bordeaux,25.0,0,Joanne
286,CHATEAU CLINET,2013,75cl,Bordeaux,39.0,0,Joanne
287,CHATEAU CLINET,2011,75cl,Bordeaux,56.0,0,Joanne
288,CHATEAU GAZIN,2011,75cl,Bordeaux,47.0,0,Joanne
289,CHATEAU LA CLEMENCE,2003,75cl,Bordeaux,32.0,0,Joanne
290,CHATEAU LA CONSEILLANTE,2011,75cl,Bordeaux,72.0,0,Joanne
291,CHATEAU LA CONSEILLANTE,2010,75cl,Bordeaux,150.0,0,Joanne
292,CHATEAU LA CONSEILLANTE,2009,75cl,Bordeaux,160.0,0,Joanne
293,CHATEAU LA CONSEILLANTE,2007,75cl,Bordeaux,68.0,0,Joanne
294,CHATEAU LA CONSEILLANTE,2006,75cl,Bordeaux,94.0,0,Joanne
295,CHATEAU LA POINTE,2013,75cl,Bordeaux,19.0,0,Joanne
296,CHATEAU LE BON PASTEUR,2013,75cl,Bordeaux,34.0,0,Joanne
297,CHATEAU LE BON PASTEUR,2011,75cl,Bordeaux,36.0,0,Joanne
298,CHATEAU LE BON PASTEUR,2009,75cl,Bordeaux,49.0,0,Joanne
