,Wine,Vintage,Format,Region,Cost,Qty,Negoce
177,CH. TALBOT,1994,150cl,Bordeaux,108.0,0,Dubos
178,CH. CLOS HAUT PEYRAGUEY,1994,150cl,Bordeaux,38.0,0,Dubos
179,CH. LAFITE ROTHSCHILD,1995,150cl,Bordeaux,2050.0,0,Dubos
180,CH. MOUTON ROTHSCHILD,1995,150cl,Bordeaux,1100.0,0,Dubos
181,CH. CLOS HAUT PEYRAGUEY,1995,150cl,Bordeaux,46.5,0,Dubos
182,CH. CALON SEGUR,1996,150cl,Bordeaux,188.0,0,Dubos
183,CH. D'ARMAILHAC,1996,150cl,Bordeaux,108.0,0,Dubos
184,CH. CLOS HAUT PEYRAGUEY,1996,150cl,Bordeaux,48.0,0,Dubos
185,CH. LATOUR,1997,150cl,Bordeaux,798.0,0,Dubos
186,CH. CALON SEGUR,1999,150cl,Bordeaux,160.0,0,Dubos
187,CH. D'ARMAILHAC,1999,150cl,Bordeaux,98.0,0,Dubos
188,CH. MOUTON ROTHSCHILD,1999,150cl,Bordeaux,960.0,0,Dubos
189,CH. RAUZAN SEGLA,1999,150cl,Bordeaux,167.0,0,Dubos
190,CH. D'ARMAILHAC,2000,150cl,Bordeaux,145.0,0,Dubos
191,CH. CLERC MILON,2000,150cl,Bordeaux,160.0,0,Dubos
192,CH. CALON SEGUR,2001,150cl,Bordeaux,155.0,0,Dubos
193,CH. FOURCAS DUPRE,2001,150cl,Bordeaux,21.0,0,Dubos
194,CH. CALON SEGUR,2002,150cl,Bordeaux,152.0,0,Dubos
195,CH. CLERC MILON,2002,150cl,Bordeaux,120.0,0,Dubos
196,CH. PETIT VILLAGE,2002,150cl,Bordeaux,80.0,0,Dubos
197,CH. CLERC MILON,2003,150cl,Bordeaux,130.0,0,Dubos
198,CH. LATOUR,2003,150cl,Bordeaux,1580.0,0,Dubos
199,CH. CALON SEGUR,2004,150cl,Bordeaux,146.0,0,Dubos
200,CH. D'ARMAILHAC,2004,150cl,Bordeaux,90.0,0,Dubos
201,CH. CLERC MILON,2004,150cl,Bordeaux,115.0,0,Dubos
202,CH. PALMER,2004,150cl,Bordeaux,378.0,0,Dubos
203,CH. CLERC MILON,2006,150cl,Bordeaux,135.0,0,Dubos
204,CH. TALBOT,2006,150cl,Bordeaux,118.0,0,Dubos
205,ALTER EGO DE PALMER,2006,150cl,Bordeaux,128.0,0,Dubos
206,CH. DE CAMENSAC,2006,150cl,Bordeaux,51.0,0,Dubos
207,CH. MONTROSE,2007,150cl,Bordeaux,135.0,0,Dubos
208,LES FORTS DE LATOUR,2007,150cl,Bordeaux,275.0,0,Dubos
209,PETIT MOUTON,2007,150cl,Bordeaux,278.0,0,Dubos
210,CLOS FOURTET,2007,150cl,Bordeaux,158.0,0,Dubos
211,CH. CLERC MILON,2008,150cl,Bordeaux,120.0,0,Dubos
212,CH. LAFITE ROTHSCHILD,2008,150cl,Bordeaux,1950.0,0,Dubos
213,PAVILLON ROUGE DU CH. MARGAUX,2008,150cl,Bordeaux,250.0,0,Dubos
214,CH. LE GAY,2008,150cl,Bordeaux,165.0,0,Dubos
215,CH. LEOVILLE LAS CASES,2009,150cl,Bordeaux,540.0,0,Dubos
216,CH. DE CAMENSAC,2009,150cl,Bordeaux,53.0,0,Dubos
217,PETRUS,2009,150cl,Bordeaux,5990.0,0,Dubos
218,CH. CLIMENS,2009,150cl,Bordeaux,148.0,0,Dubos
219,CH. COUTET,2009,150cl,Bordeaux,96.0,0,Dubos
220,CH. CLERC MILON,2010,150cl,Bordeaux,130.0,0,Dubos
221,PETIT MOUTON,2010,150cl,Bordeaux,310.0,0,Dubos
222,CH. PRIEURE LICHINE,2010,150cl,Bordeaux,82.0,0,Dubos
223,SEIGNEUR DE LA TOUR CARNET,2010,150cl,Bordeaux,26.5,0,Dubos
224,CH. HAUT BRION,2010,150cl,Bordeaux,1380.0,0,Dubos
225,CH. CLIMENS,2010,150cl,Bordeaux,148.0,0,Dubos
226,FRANK PHELAN,2011,150cl,Bordeaux,27.5,0,Dubos
227,CH. MONTROSE,2011,150cl,Bordeaux,150.0,0,Dubos
228,CH. TRONQUOY LALANDE,2011,150cl,Bordeaux,39.0,0,Dubos
229,PETIT MOUTON,2011,150cl,Bordeaux,260.0,0,Dubos
230,CH. BRANAIRE DUCRU,2011,150cl,Bordeaux,72.0,0,Dubos
231,CH. LALANDE,2011,150cl,Bordeaux,25.0,0,Dubos
232,LE PETIT LION DU MARQUIS DE LAS CASES,2011,150cl,Bordeaux,59.8,0,Dubos
233,LES HAUTS DU TERTRE,2011,150cl,Bordeaux,29.8,0,Dubos
234,LE HAUT-MEDOC DE MONBRISON,2011,150cl,Bordeaux,17.0,0,Dubos
235,CH. MAUVESIN BARTON,2011,150cl,Bordeaux,20.75,0,Dubos
236,XX DE CORBIN,2011,150cl,Bordeaux,25.0,0,Dubos
237,LE CLARENCE DE HAUT BRION,2011,150cl,Bordeaux,150.0,0,Dubos
238,FRANK PHELAN,2012,150cl,Bordeaux,28.5,0,Dubos
239,CH. LILIAN LADOUYS,2012,150cl,Bordeaux,28.0,0,Dubos
240,CH. CROIZET BAGES,2012,150cl,Bordeaux,43.5,0,Dubos
241,CH. LAFITE ROTHSCHILD,2012,150cl,Bordeaux,790.0,0,Dubos
242,CH. LYNCH MOUSSAS,2012,150cl,Bordeaux,43.0,0,Dubos
243,CH. MOUTON ROTHSCHILD,2012,150cl,Bordeaux,690.0,0,Dubos
244,CH. PEDESCLAUX,2012,150cl,Bordeaux,48.0,0,Dubos
245,PETIT MOUTON,2012,150cl,Bordeaux,275.0,0,Dubos
246,CH. LAGRANGE,2012,150cl,Bordeaux,52.0,0,Dubos
247,CH. LEOVILLE BARTON,2012,150cl,Bordeaux,100.0,0,Dubos
248,CH. LEOVILLE POYFERRE,2012,150cl,Bordeaux,96.0,0,Dubos
249,LE BARON DE BRANE,2012,150cl,Bordeaux,33.0,0,Dubos
250,CH. DESMIRAIL,2012,150cl,Bordeaux,38.5,0,Dubos
251,CH. DURFORT VIVENS,2012,150cl,Bordeaux,59.0,0,Dubos
252,LES HAUTS DU TERTRE,2012,150cl,Bordeaux,30.0,0,Dubos
253,CH. MONBRISON,2012,150cl,Bordeaux,35.0,0,Dubos
254,CH. PALMER,2012,150cl,Bordeaux,365.0,0,Dubos
255,CH. PRIEURE LICHINE,2012,150cl,Bordeaux,50.0,0,Dubos
256,CH. SIRAN,2012,150cl,Bordeaux,32.0,0,Dubos
257,CH. CANTEMERLE,2012,150cl,Bordeaux,38.0,0,Dubos
258,LE HAUT-MEDOC DE MONBRISON,2012,150cl,Bordeaux,16.8,0,Dubos
259,CH. FOURCAS DUPRE,2012,150cl,Bordeaux,16.8,0,Dubos
260,CH. MAUVESIN BARTON,2012,150cl,Bordeaux,20.75,0,Dubos
261,CH. D'AIGUILHE,2012,150cl,Bordeaux,25.5,0,Dubos
262,FRANK PHELAN,2013,150cl,Bordeaux,28.5,0,Dubos
263,CH. HAUT MARBUZET,2013,150cl,Bordeaux,45.0,0,Dubos
