,Wine,Vintage,Format,Region,Cost,Qty,Negoce
303,CH. FAURIE DE SOUCHARD,2013,75cl,Bordeaux,21.6,0,DIVA
304,CH. FEYTIT CLINET,2013,75cl,Bordeaux,33.0,0,DIVA
305,CH. FLEUR CARDINALE,2013,75cl,Bordeaux,21.6,0,DIVA
306,CH. FLEUR DE GAY (LA),2013,75cl,Bordeaux,52.0,0,DIVA
307,CH. FONBEL (DE),2013,75cl,Bordeaux,9.3,0,DIVA
308,CH. GAY (LE),2013,75cl,Bordeaux,48.0,0,DIVA
309,CH. GAZIN,2013,75cl,Bordeaux,38.0,0,DIVA
310,CH. GLORIA,2013,75cl,Bordeaux,19.8,0,DIVA
311,CH. GRAND MAYNE,2013,75cl,Bordeaux,21.0,0,DIVA
312,CH. GRAND PUY LACOSTE,2013,75cl,Bordeaux,31.2,0,DIVA
313,CH. GRANDES MURAILLES (LES),2013,75cl,Bordeaux,28.0,0,DIVA
314,CH. GURGUE (LA),2013,75cl,Bordeaux,11.0,0,DIVA
315,CH. HAUT BAILLY,2013,75cl,Bordeaux,42.0,0,DIVA
316,CH. HAUT BATAILLEY,2013,75cl,Bordeaux,21.0,0,DIVA
317,CH. HAUT BATAILLEY,2013,75cl,Bordeaux,21.0,0,DIVA
318,CH. HAUT BERGEY,2013,75cl,Bordeaux,12.5,0,DIVA
319,CH. HAUT MARBUZET,2013,75cl,Bordeaux,21.0,0,DIVA
320,CH. LANESSAN,2013,75cl,Bordeaux,8.85,0,DIVA
321,CH. LANGOA BARTON,2013,75cl,Bordeaux,28.5,0,DIVA
322,CH. LARCIS DUCASSE,2013,75cl,Bordeaux,30.0,0,DIVA
323,CH. LATOUR MARTILLAC ROUGE,2013,75cl,Bordeaux,18.0,0,DIVA
324,CH. LEOVILLE BARTON,2013,75cl,Bordeaux,42.5,0,DIVA
325,CH. LEOVILLE POYFERRE,2013,75cl,Bordeaux,38.4,0,DIVA
326,CH. LEOVILLE POYFERRE,2013,75cl,Bordeaux,38.4,0,DIVA
327,CH. LILIAN LADOUYS,2013,75cl,Bordeaux,9.9,0,DIVA
328,CH. MALARTIC LAGRAVIERE BLANC,2013,75cl,Bordeaux,34.8,0,DIVA
329,CH. MALESCOT SAINT EXUPERY,2013,75cl,Bordeaux,27.5,0,DIVA
330,CH. MARQUIS D'ALESME,2013,75cl,Bordeaux,20.0,0,DIVA
331,CH. MARQUIS DE TERME,2013,75cl,Bordeaux,21.0,0,DIVA
332,CH. MAUVESIN BARTON,2013,75cl,Bordeaux,9.3,0,DIVA
333,CH. MEYNEY,2013,75cl,Bordeaux,16.55,0,DIVA
334,CH. MISSION HAUT BRION BLANC (LA),2013,75cl,Bordeaux,480.0,0,DIVA
