,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
828,828,CFW00059-2014-01500,Chateau Lagrange,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Lagrange,,"St. Julien, Bordeaux",波爾多,France,法國,,2014,1500ml,49.0,90,BM
829,829,CFW00365-2009-01500,Chateau Poujeaux,,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Poujeaux,,"Moulis, Bordeaux",波爾多,France,法國,,2009,1500ml,62.0,90,BM
830,830,CFW00001-2014-01500,Chateau Lafite Rothschild,拉菲正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Domaines Barons de Rothschild,拉菲酒莊－ 罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2014,1500ml,920.0,92,BM
831,831,CFW00021-2013-01500,Clos du Marquis,雄狮副牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,雄狮酒莊,"St. Julien, Bordeaux",波爾多,France,法國,,2013,1500ml,54.0,92,BM
832,832,CFW00220-2014-01500,Chateau Pavie,帕菲正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Pavie,帕菲,"St. Emilion, Bordeaux",波爾多,France,法國,,2014,1500ml,370.0,93,BM
833,833,CFW00126-2005-00750,Chateau Pontet Canet,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Pontet Canet,旁堤卡内酒庄,"Pauillac, Bordeaux",波爾多,France,法國,,2005,750ml,125.0,95,BM
834,834,CFW01645-2011-00375,Chateau Bernadotte,,,Red,紅酒,Chateau Bernadotte,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2011,375ml,6.5,96,BM
835,835,CFW01645-2007-00375,Chateau Bernadotte,,,Red,紅酒,Chateau Bernadotte,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2007,375ml,6.5,96,BM
836,836,CFW00339-2005-00375,Chateau Climens,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Climens,,"Sauternes, Bordeaux",波爾多,France,法國,,2005,375ml,38.5,96,BM
837,837,CFW00087-2008-00750,Chateau Calon Segur,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Calon Segur, 卡龙世家,"St. Estephe, Bordeaux",波爾多,France,法國,,2008,750ml,83.0,96,BM
838,838,CFW00251-2009-00750,Chateau Dassault,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Dassault,,"St. Emilion, Bordeaux",波爾多,France,法國,,2009,750ml,29.0,96,BM
839,839,CFW02000-2007-00750,Chateau de Fargues,,,Red,紅酒,Chateau de Fargues,,Bordeaux,波爾多,France,法國,,2007,750ml,69.0,96,BM
840,840,CFW02037-2014-00750,Chateau Haut Brisson La Reserve,,,Red,紅酒,Chateau Haut Brisson La Reserve,,Bordeaux,波爾多,France,法國,,2014,750ml,19.8,96,BM
841,841,CFW00880-2014-00750,Chateau Joanin Becot,,,Red,紅酒,Chateau Joanin Becot,,Bordeaux,波爾多,France,法國,,2014,750ml,12.0,96,BM
842,842,CFW00310-2009-00750,Chateau La Conseillante,,,Red,紅酒,Chateau La Conseillante,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2009,750ml,169.0,96,BM
843,843,CFW00080-2009-00750,Chateau La Lagune,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau La Lagune,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2009,750ml,60.0,96,BM
844,844,CFW00231-2009-00750,Chateau Pavie Macquin,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Pavie Macquin,,"St. Emilion, Bordeaux",波爾多,France,法國,,2009,750ml,64.0,96,BM
845,845,CFW00341-2011-00750,Chateau Rieussec,,Sauternes Premiers Crus,Sweet,甜酒,Domaines Barons de Rothschild,,"Sauternes, Bordeaux",波爾多,France,法國,,2011,750ml,44.0,96,BM
846,846,CFW00321-2013-00750,Chateau Rouget,,,Red,紅酒,Chateau Rouget,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2013,750ml,21.0,96,BM
847,847,CFW00093-2010-00750,Chateau Saint Pierre,,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Domaines Henri Martin,,"St. Julien, Bordeaux",波爾多,France,法國,,2010,750ml,70.0,96,BM
848,848,CFW00007-2014-00750,Pavillon Rouge du Chateau Margaux,瑪歌副牌紅,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2014,750ml,142.0,96,BM
849,849,CFW00224-2012-01500,Chateau Canon,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Canon,卡侬城堡,"St. Emilion, Bordeaux",波爾多,France,法國,,2012,1500ml,129.5,96,BM
850,850,CFW00023-1999-01500,Chateau Leoville Poyferre,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Poyferre,乐芙,"St. Julien, Bordeaux",波爾多,France,法國,,1999,1500ml,136.0,96,BM
851,851,CFW00219-2013-00750,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2013,750ml,307.0,97,BM
852,852,CFW00051-2014-01500,La Dame de Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2014,1500ml,45.2,99,BM
853,853,CFW00251-2000-03000,Chateau Dassault,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Dassault,,"St. Emilion, Bordeaux",波爾多,France,法國,,2000,3000ml,215.0,100,BM
854,854,CFW00026-2005-00750,Chateau Leoville Barton,巴頓正牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Barton,巴頓,"St. Julien, Bordeaux",波爾多,France,法國,,2005,750ml,106.0,102,BM
855,855,CFW00020-2013-00750,Chateau Leoville Las Cases,雄狮正牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,雄狮酒莊,"St. Julien, Bordeaux",波爾多,France,法國,,2013,750ml,95.0,102,BM
856,856,CFW00323-2002-00750,Chateau Trotanoy,,,Red,紅酒,Chateau Trotanoy,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2002,750ml,120.0,102,BM
857,857,CFW00063-2005-00750,Chateau Langoa Barton,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Langoa Barton,,"St. Julien, Bordeaux",波爾多,France,法國,,2005,750ml,53.0,105,BM
858,858,CFW00225-2012-00750,Chateau Canon La Gaffeliere,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Canon La Gaffeliere, 嘉芙丽庄园,"St. Emilion, Bordeaux",波爾多,France,法國,,2012,750ml,48.0,107,BM
859,859,CFW02020-2014-00750,Chateau du Tailhas,,,Red,紅酒,Chateau du Tailhas,,Bordeaux,波爾多,France,法國,,2014,750ml,11.2,107,BM
860,860,CFW00021-2014-00750,Clos du Marquis,雄狮副牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Las Cases,雄狮酒莊,"St. Julien, Bordeaux",波爾多,France,法國,,2014,750ml,29.5,107,BM
861,861,CFW01963-2012-00750,Chateau Arnauton,,,Red,紅酒,Chateau Arnauton,,Bordeaux,波爾多,France,法國,,2012,750ml,7.5,108,BM
862,862,CFW00138-2009-00750,Chateau Dauzac,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,2009,750ml,44.5,108,BM
863,863,CFW00330-2010-00750,Chateau d'Yquem,,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,2010,750ml,390.0,108,BM
864,864,CFW00317-2008-00750,Chateau Latour a Pomerol,,,Red,紅酒,Chateau Latour a Pomerol,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2008,750ml,56.0,108,BM
865,865,CFW00373-2013-01500,Chateau Beaumont,,Cru Bourgeois Superieur,Red,紅酒,Chateau Beaumont,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2013,1500ml,14.4,108,BM
866,866,CFW00182-2014-01500,Chateau de Fieuzal Rouge,,Graves,Red,紅酒,Chateau de Fieuzal,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2014,1500ml,45.0,108,BM
867,867,CFW00306-2014-00750,Chateau L'Eglise Clinet,,,Red,紅酒,Chateau Eglise Clinet,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2014,750ml,132.0,111,BM
868,868,CFW00078-2014-00750,Chateau Palmer,宝马正牌,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,宝马,"Margaux, Bordeaux",波爾多,France,法國,,2014,750ml,195.0,111,BM
869,869,CFW00162-2012-00750,Chateau Cantemerle,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2012,750ml,19.95,112,BM
870,870,CFW00338-2014-00750,Chateau Coutet,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Coutet,,"Sauternes, Bordeaux",波爾多,France,法國,,2014,750ml,24.0,112,BM
871,871,CFW00310-2014-00750,Chateau La Conseillante,,,Red,紅酒,Chateau La Conseillante,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2014,750ml,79.0,114,BM
872,872,CFW00032-2010-00750,Chateau Lascombes,力士金,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Lascombes,力士金酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2010,750ml,78.0,114,BM
873,873,CFW00222-2014-01500,Chateau Beau Sejour Becot,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Beau Sejour Becot,,"St. Emilion, Bordeaux",波爾多,France,法國,,2014,1500ml,68.2,114,BM
