,Wine,Vintage,Format,Cost,Qty,Negoce
287,GUIRAUD,2006,750ml,30.0,20,Clarence Dillon
288,HAUT-BAILLY,2000,750ml,92.0,13,Clarence Dillon
289,HAUT-BAILLY ,2011,750ml,54.0,84,Clarence Dillon
290,HAUT-BAILLY ,2013,750ml,39.6,18,Clarence Dillon
291,HAUT-BAILLY ,2014,750ml,62.0,12,Clarence Dillon
292,HAUT-BATAILLEY ,2011,750ml,26.8,151,Clarence Dillon
293,HAUT-MARBUZET,2008,750ml,29.0,95,Clarence Dillon
294,HAUT-MARBUZET,2013,750ml,21.0,120,Clarence Dillon
295,HAUT-MARBUZET,2014,750ml,22.5,126,Clarence Dillon
296,HAUT MEDOC DE LAGRANGE ,2012,750ml,9.0,578,Clarence Dillon
297,HAUT MEDOC DE LAGRANGE ,2013,750ml,9.0,966,Clarence Dillon
298,HAUT MEDOC DE LAGRANGE ,2014,750ml,9.0,764,Clarence Dillon
299,ISSAN ,2001,750ml,62.0,60,Clarence Dillon
300,ISSAN,2012,750ml,40.0,48,Clarence Dillon
301,ISSAN,2013,750ml,31.0,120,Clarence Dillon
302,ISSAN,2014,750ml,37.0,312,Clarence Dillon
303,LAFAURIE-PEYRAGUEY,1988,750ml,52.8,11,Clarence Dillon
304,LAFAURIE-PEYRAGUEY,2001,750ml,63.6,32,Clarence Dillon
305,LAFITE ROTHSCHILD,2005,750ml,980.0,8,Clarence Dillon
306,LAFITE ROTHSCHILD ,2009,750ml,760.0,36,Clarence Dillon
307,LAFITE ROTHSCHILD ,2010,750ml,810.0,42,Clarence Dillon
308,LAFON-ROCHET ,1996,750ml,63.0,120,Clarence Dillon
309,LAFON-ROCHET ,2012,750ml,24.0,72,Clarence Dillon
310,LAFON-ROCHET ,2013,750ml,21.0,24,Clarence Dillon
311,LAGRANGE,2000,750ml,79.0,18,Clarence Dillon
312,LAGRANGE,2004,750ml,41.0,24,Clarence Dillon
313,LAGRANGE,2006,750ml,45.9,120,Clarence Dillon
314,LAGRANGE,2008,750ml,41.0,324,Clarence Dillon
315,LAGRANGE ,2012,750ml,27.0,324,Clarence Dillon
316,LAGRANGE ,2013,750ml,22.8,22,Clarence Dillon
317,LAGRANGE ,2014,750ml,29.0,472,Clarence Dillon
318,LALANDE BORIE ,2014,750ml,18.0,72,Clarence Dillon
319,LANGOA BARTON,2006,750ml,39.9,77,Clarence Dillon
320,LATOUR-MARTILLAC BLANC,2007,750ml,26.0,24,Clarence Dillon
321,LEOVILLE LAS CASES,1995,750ml,190.0,12,Clarence Dillon
322,LEOVILLE-BARTON,1996,750ml,111.0,54,Clarence Dillon
323,LEOVILLE-BARTON,2000,750ml,140.0,4,Clarence Dillon
324,LEOVILLE-BARTON,2002,750ml,72.0,4,Clarence Dillon
325,LEOVILLE-BARTON,2006,750ml,71.0,240,Clarence Dillon
326,MALARTIC-LAGRAVIERE BLANC,2011,750ml,42.0,72,Clarence Dillon
327,MALARTIC-LAGRAVIERE BLANC,2012,750ml,34.8,66,Clarence Dillon
328,MALARTIC-LAGRAVIERE BLANC,2013,750ml,34.8,36,Clarence Dillon
329,MALARTIC-LAGRAVIERE BLANC,2014,750ml,34.8,96,Clarence Dillon
330,MALARTIC-LAGRAVIERE ROUGE,2009,750ml,37.0,38,Clarence Dillon
331,MALARTIC-LAGRAVIERE ROUGE,2014,750ml,28.0,204,Clarence Dillon
332,MARQUIS DE CALON (Le),2014,750ml,18.25,168,Clarence Dillon
333,MARGAUX,1985,750ml,455.0,24,Clarence Dillon
334,PAVIE MACQUIN ,2008,750ml,54.0,18,Clarence Dillon
335,PAVIE MACQUIN ,2013,750ml,36.0,282,Clarence Dillon
336,PEDESCLAUX,2010,750ml,29.5,270,Clarence Dillon
337,PEDESCLAUX,2012,750ml,24.5,288,Clarence Dillon
338,PEDESCLAUX ,2014,750ml,25.5,1011,Clarence Dillon
339,RIEUSSEC,1988,750ml,67.0,1,Clarence Dillon
340,RIEUSSEC,1989,750ml,71.0,3,Clarence Dillon
341,RIEUSSEC,1998,750ml,42.0,24,Clarence Dillon
342,RIEUSSEC,2005,750ml,35.04,7,Clarence Dillon
343,SAINT PIERRE ,2011,750ml,33.6,258,Clarence Dillon
344,SAINT PIERRE ,2012,750ml,30.6,174,Clarence Dillon
345,SAINT PIERRE ,2013,750ml,27.5,264,Clarence Dillon
346,SAINT PIERRE ,2014,750ml,31.2,288,Clarence Dillon
347,SARGET DE GRUAUD LAROSE ,2013,750ml,18.4,180,Clarence Dillon
348,SIAURAC,2009,750ml,12.9,270,Clarence Dillon
349,SIAURAC,2014,750ml,9.6,823,Clarence Dillon
350,SOCIANDO-MALLET,2000,750ml,57.0,20,Clarence Dillon
351,SOCIANDO-MALLET,2005,750ml,45.0,1,Clarence Dillon
352,SOCIANDO-MALLET,2007,750ml,22.5,11,Clarence Dillon
353,SOCIANDO-MALLET ,2012,750ml,19.2,146,Clarence Dillon
354,SOCIANDO-MALLET ,2013,750ml,18.0,420,Clarence Dillon
355,SOCIANDO-MALLET ,2014,750ml,19.0,210,Clarence Dillon
356,SOUTARD ,2011,750ml,21.9,162,Clarence Dillon
357,SOUTARD ,2012,750ml,20.9,57,Clarence Dillon
358,SOUTARD ,2013,750ml,19.3,120,Clarence Dillon
359,SOUTARD ,2014,750ml,23.5,120,Clarence Dillon
360,SUDUIRAUT,1999,750ml,25.9,484,Clarence Dillon
361,TALBOT ,1996,750ml,85.0,120,Clarence Dillon
362,TALBOT ,2004,750ml,57.0,24,Clarence Dillon
363,TALBOT ,2010,750ml,52.0,49,Clarence Dillon
364,VALANDRAUD,2005,750ml,192.0,6,Clarence Dillon
365,VIEUX CHÂTEAU CERTAN,2007,750ml,87.0,50,Clarence Dillon
366,VIEUX CHÂTEAU CERTAN,2008,750ml,103.0,50,Clarence Dillon
367,VIEUX CHÂTEAU CERTAN,2012,750ml,120.0,36,Clarence Dillon
368,VIEUX CHÂTEAU CERTAN,2013,750ml,95.0,84,Clarence Dillon
369,VRAI CROIX DE GAY (la),2014,750ml,34.8,120,Clarence Dillon
370,YQUEM,1996,750ml,193.0,13,Clarence Dillon
371,YQUEM,1997,750ml,212.0,20,Clarence Dillon
372,YQUEM,2003,750ml,215.0,68,Clarence Dillon
373,BRANE CANTENAC ,2014,3000ml,173.0,1,Clarence Dillon
374,BRANAIRE DUCRU ,2014,3000ml,151.0,1,Clarence Dillon
375,CLINET,2014,3000ml,220.0,1,Clarence Dillon
376,CLOS DU MARQUIS,2012,3000ml,173.0,4,Clarence Dillon
377,COS D ESTOURNEL,2012,3000ml,400.0,4,Clarence Dillon
378,DOMAINE DE CHEVALIER ROUGE ,2004,3000ml,298.0,1,Clarence Dillon
379,FIGEAC,2007,3000ml,348.0,3,Clarence Dillon
380,GAZIN,2013,3000ml,185.0,1,Clarence Dillon
381,GAZIN,2013,3000ml,183.0,3,Clarence Dillon
382,GISCOURS,2012,3000ml,177.0,1,Clarence Dillon
383,GISCOURS,2012,3000ml,175.0,3,Clarence Dillon
384,GRAND-PUY-LACOSTE,2010,3000ml,300.0,1,Clarence Dillon
385,GRAND-PUY-LACOSTE,2012,3000ml,177.0,1,Clarence Dillon
386,GRAND-PUY-LACOSTE,2012,3000ml,175.0,3,Clarence Dillon
387,GRUAUD LAROSE,2014,3000ml,199.0,1,Clarence Dillon
388,ISSAN,2012,3000ml,160.0,4,Clarence Dillon
389,ISSAN,2014,3000ml,173.0,1,Clarence Dillon
