,Wine,Vintage,Format,Cost,Qty,Negoce
354,Clerc Milon,2011,750ml,68.0,180,CVBG
355,Duhart-Milon,2011,750ml,62.0,180,CVBG
356,Cheval Blanc,2012,750ml,350.0,180,CVBG
357,Fonroque,2014,750ml,15.5,180,CVBG
358,Phélan Ségur,2014,750ml,26.5,180,CVBG
359,Connetable de Talbot,2014,750ml,17.5,180,CVBG
360,Rieussec,2010,750ml,48.0,180,CVBG
361,Rieussec,2007,750ml,48.0,180,CVBG
362,Suduiraut,2010,750ml,48.5,180,CVBG
363,Margaux,2012,750ml,365.0,186,CVBG
364,Connetable de Talbot,2015,750ml,17.5,186,CVBG
365,Cambon la pelouse,2007,1500ml,19.0,186,CVBG
366,Latour Martillac rouge,2014,6000ml,220.0,19,CVBG
367,Haut Bailly,2012,750ml,60.0,192,CVBG
368,Pape Clément rouge,2014,750ml,62.0,192,CVBG
369,Quintus,2013,750ml,60.0,192,CVBG
370,Gloria,2013,750ml,19.8,192,CVBG
371,Cruzelles ,2015,750ml,16.5,198,CVBG
372,Blason d'Issan,2014,750ml,16.5,198,CVBG
373,Beau Séjour Bécot,2011,750ml,38.0,198,CVBG
374,Chauvin,2014,750ml,20.4,198,CVBG
375,Clos La Madeleine,2013,750ml,17.4,198,CVBG
376,Yquem,2011,750ml,250.0,198,CVBG
377,Extravagant de Doisy Daene,2003,375ml,150.0,2,CVBG
378,Doisy-Daene,1975,750ml,75.0,2,CVBG
379,Y d'Yquem,2014,750ml,92.0,2,CVBG
380,Margaux,2006,750ml,398.0,2,CVBG
381,Pavillon rouge,2014,750ml,155.0,2,CVBG
382,Rauzan Ségla,2014,750ml,55.0,2,CVBG
383,Eglise Clinet,2010,750ml,315.0,2,CVBG
384,Ausone,2003,750ml,1050.0,2,CVBG
385,Ausone,2000,750ml,1200.0,2,CVBG
386,Cheval Blanc,2005,750ml,610.0,2,CVBG
387,Dôme,2012,750ml,70.0,2,CVBG
388,Pavie Decesse,2010,750ml,145.0,2,CVBG
389,Cos d'Estournel,2003,750ml,165.0,2,CVBG
390,Rieussec,2014,750ml,42.0,2,CVBG
