,                          THE CLASSICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
203,2013,CH. HAUT BATAILLEY,Half,5TH GCC,Pauillac,5,cs,,11.75,,16.75,87-90,88-89
204,2013,CH. HAUT BATAILLEY,Mag.,5TH GCC,Pauillac,3,cs,,44.5,,16.75,87-90,88-89
205,,,,,,,,,,,,,
206,2007,CH. HAUT DE LA BECADE,,,Pauillac,500,cs,,13.5,,,,
207,2008,CH. HAUT DE LA BECADE,,,Pauillac,500,cs,,13.9,,,,
208,2009,CH. HAUT DE LA BECADE,,,Pauillac,500,cs,,15,,,,
209,2010,CH. HAUT DE LA BECADE,,,Pauillac,500,cs,,15,,,,
210,,,,,,,,,,,,,
211,2011,LACOSTE BORIE,,2nd label of Ch.Grand Puy Lacoste,Pauillac,70,cs,,16.8,,*** 15.5,,
212,2012,LACOSTE BORIE,,2nd label of Ch.Grand Puy Lacoste,Pauillac,90,cs,,16,,16.25,,
213,2012,LACOSTE BORIE,Half,2nd label of Ch.Grand Puy Lacoste,Pauillac,2,cs,,8.4,,16.25,,
214,2013,LACOSTE BORIE,,2nd label of Ch.Grand Puy Lacoste,Pauillac,150,cs,,14.5,,,,
215,2013,LACOSTE BORIE,Half,2nd label of Ch.Grand Puy Lacoste,Pauillac,15,cs,,7.8,,,,
216,2013,LACOSTE BORIE,Mag.,2nd label of Ch.Grand Puy Lacoste,Pauillac,9,cs,,28.65,,,,
217,,,,,,,,,,,,,
218,1995,CH. LAFITE ROTHSCHILD,Mag.,1ST GCC,Pauillac,1,cs,,2050,95,,96,
219,2001,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,1,cs,,680,94,,,
220,2003,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,1,cs,,940,100,,,
221,2005,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,8,cs,,875,95,***** 20,98,
222,2005,CH. LAFITE ROTHSCHILD,DMag.,1ST GCC,Pauillac,1,cs,/1,3750,95,***** 20,98,
223,2005,CH. LAFITE ROTHSCHILD,Imp.,1ST GCC,Pauillac,1,cs,/1,7300,95,***** 20,98,
224,2006,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,2,cs,,698,97,*****,95,
225,2006,CH. LAFITE ROTHSCHILD,DMag.,1ST GCC,Pauillac,1,cs,/1,2950,97,*****,95,
226,2006,CH. LAFITE ROTHSCHILD,Imp.,1ST GCC,Pauillac,3,cs,/1,5950,97,*****,95,
227,2007,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,7,cs,,750,94,***** 18.5,91,
228,2007,CH. LAFITE ROTHSCHILD,Half,1ST GCC,Pauillac,6,cs,,325,94,***** 18.5,91,
229,2008,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,6,cs,,895,98,***** 19,92,91
230,2008,CH. LAFITE ROTHSCHILD,Mag.,1ST GCC,Pauillac,1,cs,/1,1950,98,***** 19,92,91
231,2009,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,1,cs,,940,99+,***** 19.5,98,100
232,2010,CH. LAFITE ROTHSCHILD,,1ST GCC,Pauillac,2,cs,/3,750,98,****17.25,97,99
233,2010,CH. LAFITE ROTHSCHILD,DMag.,1ST GCC,Pauillac,1,cs,/1,4300,98,****17.25,97,99
234,2012,CH. LAFITE ROTHSCHILD,Mag.,1ST GCC,Pauillac,1,cs,,790,91,18.50,94,95
235,2012,CH. LAFITE ROTHSCHILD,DMag.,1ST GCC,Pauillac,1,cs,/1,1750,91,18.50,94,95
